filename,width,height,class,xmin,ymin,xmax,ymax
1493026.jpg,1280,720,leaf_rust,1,32,1279,311
1493026.jpg,1280,720,leaf_rust,1,349,1279,633
1573112.jpg,1280,720,leaf_rust,1,136,1280,579
1573114.jpg,1280,720,leaf_rust,261,177,853,610
5154036.jpg,1280,720,leaf_rust,1,181,1280,596
5187012.jpg,1280,720,leaf_rust,448,351,828,446
5187012.jpg,1280,720,leaf_rust,404,533,640,669
5187012.jpg,1280,720,leaf_rust,544,5,703,207
5187012.jpg,1280,720,leaf_rust,390,167,440,433
5187012.jpg,1280,720,leaf_rust,188,126,239,276
5187012.jpg,1280,720,leaf_rust,908,428,1224,515
5187019.jpg,1280,720,leaf_rust,779,229,876,396
5187019.jpg,1280,720,leaf_rust,453,372,655,430
5187019.jpg,1280,720,leaf_rust,420,453,624,523
5187019.jpg,1280,720,leaf_rust,691,470,882,558
5187019.jpg,1280,720,leaf_rust,1132,344,1280,407
5187019.jpg,1280,720,leaf_rust,1168,184,1263,327
5187019.jpg,1280,720,leaf_rust,391,214,456,363
5187019.jpg,1280,720,leaf_rust,388,222,457,431
5187019.jpg,1280,720,leaf_rust,600,456,885,548
5187019.jpg,1280,720,leaf_rust,267,420,615,522
5187019.jpg,1280,720,leaf_rust,729,179,874,394
5187019.jpg,1280,720,leaf_rust,984,342,1278,406
5187019.jpg,1280,720,leaf_rust,479,377,651,433
5359597.jpg,1280,720,stripe_rust,565,355,752,404
5362110.jpg,1280,720,stripe_rust,380,232,434,334
5362110.jpg,1280,720,stripe_rust,452,225,563,249
5362110.jpg,1280,720,stripe_rust,611,330,804,570
5362110.jpg,1280,720,stripe_rust,1034,314,1077,534
5362110.jpg,1280,720,stripe_rust,958,507,1181,586
5362110.jpg,1280,720,stripe_rust,810,538,1012,657
5362110.jpg,1280,720,stripe_rust,1187,499,1225,630
5362110.jpg,1280,720,stripe_rust,197,267,258,339
5362110.jpg,1280,720,stripe_rust,21,422,213,517
5362112.jpg,1280,720,stripe_rust,293,168,343,283
5362112.jpg,1280,720,stripe_rust,354,150,562,207
5362112.jpg,1280,720,stripe_rust,1,353,163,451
5362112.jpg,1280,720,stripe_rust,95,201,175,295
5362112.jpg,1280,720,stripe_rust,518,260,710,522
5362112.jpg,1280,720,stripe_rust,448,370,523,504
5362112.jpg,1280,720,stripe_rust,934,249,985,466
5362112.jpg,1280,720,stripe_rust,999,184,1073,324
5362112.jpg,1280,720,stripe_rust,876,438,1103,512
5362112.jpg,1280,720,stripe_rust,672,401,780,489
5362114.jpg,1280,720,stripe_rust,304,478,424,562
5362114.jpg,1280,720,stripe_rust,429,471,575,561
5362114.jpg,1280,720,stripe_rust,623,399,701,505
5362114.jpg,1280,720,stripe_rust,533,433,676,535
5362114.jpg,1280,720,stripe_rust,425,220,665,308
5362116.jpg,1280,720,stripe_rust,656,407,826,507
5362116.jpg,1280,720,stripe_rust,652,145,722,234
5362116.jpg,1280,720,stripe_rust,540,222,594,334
5362116.jpg,1280,720,stripe_rust,383,115,437,250
5362116.jpg,1280,720,stripe_rust,552,420,655,523
5362116.jpg,1280,720,stripe_rust,794,485,875,599
5362118.jpg,1280,720,stripe_rust,345,244,943,495
5362118.jpg,1280,720,stripe_rust,548,112,758,291
5362118.jpg,1280,720,stripe_rust,506,364,563,521
5362118.jpg,1280,720,stripe_rust,952,238,1176,647
5362118.jpg,1280,720,stripe_rust,1057,84,1280,208
5362118.jpg,1280,720,stripe_rust,49,274,294,720
5362118.jpg,1280,720,stripe_rust,1,170,325,249
5362120.jpg,1280,720,stripe_rust,357,130,921,617
5362120.jpg,1280,720,stripe_rust,745,3,871,299
5362120.jpg,1280,720,stripe_rust,898,1,990,201
5362120.jpg,1280,720,stripe_rust,165,176,285,720
5362122.jpg,1280,720,stripe_rust,383,284,853,489
5362122.jpg,1280,720,stripe_rust,922,363,1214,682
5362122.jpg,1280,720,stripe_rust,644,363,697,686
5362122.jpg,1280,720,stripe_rust,757,336,794,551
5362124.jpg,1280,720,stripe_rust,2,125,1280,661
5362126.jpg,1280,720,stripe_rust,125,181,1016,560
5362126.jpg,1280,720,stripe_rust,1067,1,1274,258
5437611.jpg,1280,720,stripe_rust,222,2,407,720
5437612.jpg,1280,720,stripe_rust,286,2,506,720
5437613.jpg,1280,720,stripe_rust,196,33,556,83
5437613.jpg,1280,720,stripe_rust,561,47,844,720
5437613.jpg,1280,720,stripe_rust,886,70,1022,720
5437614.jpg,1280,720,stripe_rust,77,1,453,45
5437614.jpg,1280,720,stripe_rust,437,5,755,720
5437614.jpg,1280,720,stripe_rust,887,375,1019,720
5437614.jpg,1280,720,stripe_rust,793,511,935,720
5437614.jpg,1280,720,stripe_rust,817,1,918,282
5437615.jpg,1280,720,stripe_rust,189,3,486,552
5437615.jpg,1280,720,stripe_rust,274,438,506,720
5437615.jpg,1280,720,stripe_rust,427,215,787,720
5437615.jpg,1280,720,stripe_rust,614,2,879,720
